"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (2%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (2%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-crloflin/ (12%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (2%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-crloflin/ (12%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (0%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (2%)","3"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (2%)","4"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (7%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (9%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (0%)","5"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sabrina-hsu/ (6%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (7%)","6"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-abelal16/ (9%)",""
